best_energy,best_bitstring,final_energy,accepted_moves,restart,gap_to_bruteforce,matches_bruteforce_energy,matches_bruteforce_bitstring
6.300000000000004,010000000010000,6.299999999999869,7,0,1.0000000000000044,False,False
6.5,001000000010000,6.499999999999801,21,1,1.2000000000000002,False,False
7.300000000000004,000010000000001,7.299999999999834,19,2,2.0000000000000044,False,False
6.100000000000001,001000000000001,6.099999999999838,7,3,0.8000000000000016,False,False
7.5,000001000000001,7.499999999999595,10,4,2.2,False,False
5.5,100000000000010,5.499999999999993,5,5,0.20000000000000018,False,False
5.300000000000001,100000000000100,5.300000000000097,5,6,8.881784197001252e-16,True,True
6.100000000000001,010000000100000,6.100000000000261,14,7,0.8000000000000016,False,False
5.900000000000006,010000000000001,5.899999999999995,10,8,0.6000000000000059,False,False
5.699999999999999,100000001000000,5.699999999999996,8,9,0.39999999999999947,False,False
5.899999999999999,100000000100000,5.899999999999949,15,10,0.5999999999999988,False,False
5.699999999999999,100000001000000,5.700000000000088,9,11,0.39999999999999947,False,False
5.700000000000003,010000000000010,5.7000000000002125,11,12,0.400000000000003,False,False
7.300000000000004,000010000000001,7.29999999999999,2,13,2.0000000000000044,False,False
7.5,000001000000001,7.500000000000046,12,14,2.2,False,False
5.900000000000006,010000000000001,5.899999999999643,16,15,0.6000000000000059,False,False
5.300000000000001,100000000000100,5.299999999999812,8,16,8.881784197001252e-16,True,True
5.300000000000001,100000000000100,5.299999999999983,8,17,8.881784197001252e-16,True,True
6.300000000000004,010000000010000,6.299999999999994,5,18,1.0000000000000044,False,False
5.899999999999999,000001000010000,5.899999999999835,6,19,0.5999999999999988,False,False
5.699999999999999,100000001000000,5.700000000000031,9,20,0.39999999999999947,False,False
5.700000000000003,000010000010000,5.699999999999832,7,21,0.400000000000003,False,False
5.5,100000000000010,5.500000000000185,6,22,0.20000000000000018,False,False
6.100000000000001,010000000100000,6.10000000000014,18,23,0.8000000000000016,False,False
5.899999999999999,000001000010000,5.89999999999975,9,24,0.5999999999999988,False,False
6.5,001000000010000,6.499999999999943,12,25,1.2000000000000002,False,False
5.899999999999999,000001000010000,5.899999999999984,18,26,0.5999999999999988,False,False
5.5,000010000100000,5.499999999999972,7,27,0.20000000000000018,False,False
5.699999999999999,100000001000000,5.70000000000001,11,28,0.39999999999999947,False,False
6.300000000000004,010000000010000,6.299999999999933,8,29,1.0000000000000044,False,False
5.699999999999999,100000001000000,5.700000000000152,9,30,0.39999999999999947,False,False
5.700000000000003,000010000010000,5.700000000000081,7,31,0.400000000000003,False,False
5.5,100000000000010,5.499999999999858,22,32,0.20000000000000018,False,False
6.300000000000004,010000000010000,6.29999999999967,23,33,1.0000000000000044,False,False
5.900000000000006,010000000000001,5.899999999999835,11,34,0.6000000000000059,False,False
6.100000000000001,001000000000001,6.099999999999973,8,35,0.8000000000000016,False,False
5.699999999999999,100000001000000,5.69999999999996,7,36,0.39999999999999947,False,False
6.100000000000001,001000000000001,6.099999999999923,13,37,0.8000000000000016,False,False
5.300000000000001,100000000000100,5.299999999999969,9,38,8.881784197001252e-16,True,True
5.300000000000001,100000000000100,5.300000000000001,2,39,8.881784197001252e-16,True,True
6.300000000000004,010000000010000,6.300000000000079,6,40,1.0000000000000044,False,False
6.5,001000000010000,6.4999999999999645,6,41,1.2000000000000002,False,False
6.100000000000001,001000000000001,6.099999999999696,9,42,0.8000000000000016,False,False
5.899999999999999,000001000010000,5.899999999999945,19,43,0.5999999999999988,False,False
6.5,001000000010000,6.500000000000064,10,44,1.2000000000000002,False,False
6.300000000000004,010000000010000,6.29999999999999,2,45,1.0000000000000044,False,False
5.899999999999999,000001000010000,5.900000000000006,14,46,0.5999999999999988,False,False
5.899999999999999,000001000010000,5.900000000000119,9,47,0.5999999999999988,False,False
6.100000000000001,010000000100000,6.099999999999959,13,48,0.8000000000000016,False,False
7.300000000000004,000010000000001,7.300000000000118,5,49,2.0000000000000044,False,False
7.300000000000004,000010000000001,7.299999999999869,14,50,2.0000000000000044,False,False
5.699999999999999,100000001000000,5.700000000000351,11,51,0.39999999999999947,False,False
6.100000000000001,010000000100000,6.100000000000097,9,52,0.8000000000000016,False,False
5.899999999999999,100000000100000,5.899999999999743,8,53,0.5999999999999988,False,False
7.5,000001000000001,7.499999999999893,8,54,2.2,False,False
5.700000000000003,010000000000010,5.70000000000006,4,55,0.400000000000003,False,False
7.100000000000001,000010000000010,7.099999999999987,8,56,1.8000000000000016,False,False
5.699999999999999,100000001000000,5.699999999999832,12,57,0.39999999999999947,False,False
5.900000000000006,010000000000001,5.900000000000119,6,58,0.6000000000000059,False,False
6.100000000000001,100000000010000,6.09999999999993,8,59,0.8000000000000016,False,False
5.5,100000000000010,5.4999999999999645,5,60,0.20000000000000018,False,False
5.699999999999999,100000001000000,5.699999999999967,6,61,0.39999999999999947,False,False
6.100000000000001,010000000100000,6.100000000000019,7,62,0.8000000000000016,False,False
5.5,100000000000010,5.499999999999702,7,63,0.20000000000000018,False,False
5.899999999999999,100000000100000,5.900000000000055,5,64,0.5999999999999988,False,False
5.700000000000003,010000000000010,5.699999999999818,7,65,0.400000000000003,False,False
5.5,100000000000010,5.500000000000007,4,66,0.20000000000000018,False,False
6.5,001000000010000,6.500000000000092,27,67,1.2000000000000002,False,False
5.700000000000003,100000000000001,5.7000000000000455,4,68,0.400000000000003,False,False
5.5,100000000000010,5.499999999999851,9,69,0.20000000000000018,False,False
7.100000000000001,000010000000010,7.100000000000136,10,70,1.8000000000000016,False,False
7.300000000000004,000010000000001,7.2999999999999545,14,71,2.0000000000000044,False,False
5.699999999999999,100000001000000,5.700000000000067,9,72,0.39999999999999947,False,False
5.699999999999999,100000001000000,5.700000000000031,12,73,0.39999999999999947,False,False
5.699999999999999,100000001000000,5.699999999999875,8,74,0.39999999999999947,False,False
5.700000000000003,010000000000010,5.70000000000006,9,75,0.400000000000003,False,False
5.700000000000003,100000000000001,5.699999999999932,8,76,0.400000000000003,False,False
6.300000000000004,010000000010000,6.299999999999976,7,77,1.0000000000000044,False,False
5.699999999999999,100000001000000,5.699999999999953,5,78,0.39999999999999947,False,False
5.700000000000003,100000000000001,5.699999999999996,23,79,0.400000000000003,False,False
5.700000000000003,000010000010000,5.700000000000102,7,80,0.400000000000003,False,False
5.899999999999999,000001000010000,5.899999999999913,8,81,0.5999999999999988,False,False
6.100000000000001,100000000010000,6.100000000000044,8,82,0.8000000000000016,False,False
7.5,000001000000001,7.500000000000142,8,83,2.2,False,False
6.100000000000001,100000000010000,6.099999999999881,7,84,0.8000000000000016,False,False
6.100000000000001,001000000000001,6.099999999999696,9,85,0.8000000000000016,False,False
5.700000000000003,000010000010000,5.6999999999997755,7,86,0.400000000000003,False,False
5.899999999999999,000001000010000,5.900000000000116,15,87,0.5999999999999988,False,False
5.699999999999999,100000001000000,5.699999999999939,6,88,0.39999999999999947,False,False
6.5,001000000010000,6.500000000000007,6,89,1.2000000000000002,False,False
5.900000000000006,010000000000001,5.899999999999949,10,90,0.6000000000000059,False,False
5.900000000000006,010000000000001,5.899999999999736,7,91,0.6000000000000059,False,False
7.5,000001000000001,7.499999999999744,10,92,2.2,False,False
6.100000000000001,100000000010000,6.100000000000044,13,93,0.8000000000000016,False,False
5.5,000010000100000,5.499999999999801,14,94,0.20000000000000018,False,False
6.100000000000001,100000000010000,6.100000000000051,20,95,0.8000000000000016,False,False
7.5,000001000000001,7.499999999999723,9,96,2.2,False,False
5.900000000000006,010000000000001,5.900000000000006,5,97,0.6000000000000059,False,False
5.899999999999999,100000000100000,5.899999999999963,13,98,0.5999999999999988,False,False
6.100000000000001,001000000000001,6.09999999999998,20,99,0.8000000000000016,False,False
